task,mode,model_label,condition,gpt-4.1,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1
operations_research,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,,2.5
operations_research,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,3.0,
operations_research,augmentation,GPT-4.1,scaffold_GPT-4.1,,1.0,5.0
operations_research,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,4.0,2.5
operations_research,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,7.0,7.5
operations_research,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,6.0,5.0
operations_research,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,5.0,1.0
operations_research,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,2.0,7.5
operations_research,augmentation,plain,plain,3.0,8.0,9.0
operations_research,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.5,,3.0
operations_research,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.5,,6.5
operations_research,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.5,2.0,
operations_research,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,8.0,9.0
operations_research,automation,GPT-4.1,automation_GPT-4.1,,6.0,6.5
operations_research,automation,GPT-5-Mini,automation_GPT-5-Mini,,4.0,4.0
operations_research,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,7.0,6.5
operations_research,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,5.0,2.0
operations_research,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,3.0,1.0
operations_research,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.5,1.0,6.5
tax_prep,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,1.5,,2.0
tax_prep,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,,8.0
tax_prep,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,5.5,
tax_prep,augmentation,GPT-4.1,scaffold_GPT-4.1,,2.5,2.0
tax_prep,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,2.5,6.5
tax_prep,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,4.0,6.5
tax_prep,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,1.0,4.0
tax_prep,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,7.0,2.0
tax_prep,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.5,8.0,9.0
tax_prep,augmentation,plain,plain,1.5,5.5,5.0
tax_prep,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,,5.5
tax_prep,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.0,,1.0
tax_prep,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,2.0,
tax_prep,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,6.0,9.0
tax_prep,automation,GPT-4.1,automation_GPT-4.1,,2.0,3.5
tax_prep,automation,GPT-5-Mini,automation_GPT-5-Mini,,2.0,2.0
tax_prep,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,5.0,3.5
tax_prep,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,8.0,7.5
tax_prep,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,4.0,5.5
tax_prep,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,7.0,7.5
travel_planning,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,,3.5
travel_planning,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,,7.0
travel_planning,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,3.0,
travel_planning,augmentation,GPT-4.1,scaffold_GPT-4.1,,3.0,6.0
travel_planning,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,1.0,2.0
travel_planning,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,8.0,5.0
travel_planning,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,6.0,3.5
travel_planning,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,3.0,1.0
travel_planning,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,6.0,8.5
travel_planning,augmentation,plain,plain,3.0,6.0,8.5
travel_planning,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.5,,3.0
travel_planning,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.5,,3.0
travel_planning,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.5,1.0,
travel_planning,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,7.0,9.0
travel_planning,automation,GPT-4.1,automation_GPT-4.1,,2.0,7.0
travel_planning,automation,GPT-5-Mini,automation_GPT-5-Mini,,8.0,7.0
travel_planning,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,3.0,5.0
travel_planning,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,6.0,3.0
travel_planning,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,5.0,1.0
travel_planning,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.5,4.0,7.0
tutoring,augmentation,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,,1.0
tutoring,augmentation,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,,7.5
tutoring,augmentation,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,3.0,
tutoring,augmentation,GPT-4.1,scaffold_GPT-4.1,,2.0,5.5
tutoring,augmentation,GPT-5-Mini,scaffold_GPT-5-Mini,,7.0,5.5
tutoring,augmentation,GPT-O3-Mini,scaffold_GPT-O3-Mini,,4.0,3.5
tutoring,augmentation,GPT-O4-Mini,scaffold_GPT-O4-Mini,,1.0,2.0
tutoring,augmentation,GPT-OSS-120B,scaffold_GPT-OSS-120B,,8.0,3.5
tutoring,augmentation,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,5.0,7.5
tutoring,augmentation,plain,plain,3.0,6.0,9.0
tutoring,automation,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.0,,8.0
tutoring,automation,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,1.0,,1.0
tutoring,automation,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,2.0,
tutoring,automation,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,8.0,9.0
tutoring,automation,GPT-4.1,automation_GPT-4.1,,5.0,7.0
tutoring,automation,GPT-5-Mini,automation_GPT-5-Mini,,3.0,4.0
tutoring,automation,GPT-O3-Mini,automation_GPT-O3-Mini,,7.0,5.5
tutoring,automation,GPT-O4-Mini,automation_GPT-O4-Mini,,6.0,2.5
tutoring,automation,GPT-OSS-120B,automation_GPT-OSS-120B,,4.0,5.5
tutoring,automation,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,1.0,2.5
