task,task_title,mode,model_id,model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,gpt-4.1
tax_prep,Tax preparation discrepancy spotting,augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,7.0,7.0,8.5,
tax_prep,Tax preparation discrepancy spotting,augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.0,1.0,1.0,
tax_prep,Tax preparation discrepancy spotting,augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,2.0,8.5,
tax_prep,Tax preparation discrepancy spotting,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,4.0,7.0,2.0,
tax_prep,Tax preparation discrepancy spotting,augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,4.0,6.5,
tax_prep,Tax preparation discrepancy spotting,augmentation,plain,plain,plain,1.0,4.0,3.0,1.5
tax_prep,Tax preparation discrepancy spotting,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,2.5,2.0,1.5
tax_prep,Tax preparation discrepancy spotting,automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,4.0,1.0,3.5
tax_prep,Tax preparation discrepancy spotting,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.0,,6.5,1.5
tax_prep,Tax preparation discrepancy spotting,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,7.5,,3.5
tax_prep,Tax preparation discrepancy spotting,automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
tax_prep,Tax preparation discrepancy spotting,automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,7.5,8.0,
tax_prep,Tax preparation discrepancy spotting,automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.0,5.0,4.5,
tax_prep,Tax preparation discrepancy spotting,automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,5.0,6.0,6.5,
tax_prep,Tax preparation discrepancy spotting,automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.0,2.5,4.5,
tax_prep,Tax preparation discrepancy spotting,automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,7.0,1.0,3.0,
travel_planning,Travel agent itinerary,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,6.0,5.0,3.0
travel_planning,Travel agent itinerary,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,7.5,2.0,3.0
travel_planning,Travel agent itinerary,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,,1.0,5.0
travel_planning,Travel agent itinerary,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,4.5,,3.0
travel_planning,Travel agent itinerary,augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,5.0,4.5,6.0,
travel_planning,Travel agent itinerary,augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.0,3.0,4.0,
travel_planning,Travel agent itinerary,augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,9.0,7.0,
travel_planning,Travel agent itinerary,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,7.0,2.0,9.0,
travel_planning,Travel agent itinerary,augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,8.0,7.5,3.0,
travel_planning,Travel agent itinerary,augmentation,plain,plain,plain,1.0,1.0,8.0,1.0
travel_planning,Travel agent itinerary,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,3.0,3.0,1.5
travel_planning,Travel agent itinerary,automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,3.0,1.5,3.5
travel_planning,Travel agent itinerary,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.0,,4.5,1.5
travel_planning,Travel agent itinerary,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,5.5,,3.5
travel_planning,Travel agent itinerary,automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
travel_planning,Travel agent itinerary,automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,8.0,6.0,
travel_planning,Travel agent itinerary,automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.0,5.5,4.5,
travel_planning,Travel agent itinerary,automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,7.0,7.0,
travel_planning,Travel agent itinerary,automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.0,3.0,1.5,
travel_planning,Travel agent itinerary,automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,6.0,1.0,8.0,
tutoring,Tutoring session planning,augmentation,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,7.0,4.0,3.0
tutoring,Tutoring session planning,augmentation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,7.0,2.5,3.0
tutoring,Tutoring session planning,augmentation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,,6.0,5.0
tutoring,Tutoring session planning,augmentation,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,4.0,7.0,,3.0
tutoring,Tutoring session planning,augmentation,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,7.0,4.0,8.5,
tutoring,Tutoring session planning,augmentation,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,1.0,1.0,1.0,
tutoring,Tutoring session planning,augmentation,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.0,9.0,8.5,
tutoring,Tutoring session planning,augmentation,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,3.0,2.0,5.0,
tutoring,Tutoring session planning,augmentation,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,8.0,4.0,7.0,
tutoring,Tutoring session planning,augmentation,plain,plain,plain,2.0,4.0,2.5,1.0
tutoring,Tutoring session planning,automation,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,3.5,1.5,1.5
tutoring,Tutoring session planning,automation,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,8.0,1.5,3.5
tutoring,Tutoring session planning,automation,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.5,,4.5,1.5
tutoring,Tutoring session planning,automation,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.0,6.5,,3.5
tutoring,Tutoring session planning,automation,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,9.0,9.0,
tutoring,Tutoring session planning,automation,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.5,6.5,7.0,
tutoring,Tutoring session planning,automation,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,2.5,5.0,6.0,
tutoring,Tutoring session planning,automation,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,3.5,8.0,
tutoring,Tutoring session planning,automation,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.5,2.0,4.5,
tutoring,Tutoring session planning,automation,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,1.0,1.0,3.0,
