model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.0,1.7320508075688772,0.7321428571428571,0.2335124434039646,4,3.0,market_trends,Market trends analysis,automation,0.7321428571428571,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.1666666666666665,2.4664414311581235,0.6746031746031745,0.1787036547491698,4,4.0,market_trends,Market trends analysis,automation,0.6746031746031745,4.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.6666666666666665,0.7637626158259734,0.6468253968253969,0.2767270376446213,4,5.0,market_trends,Market trends analysis,automation,0.6468253968253969,5.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.6666666666666665,1.7559422921421233,0.5277777777777778,0.2097176232019653,4,6.0,market_trends,Market trends analysis,automation,0.5277777777777778,6.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,5.5,1.5,0.4226190476190476,0.2502124947259965,4,7.0,market_trends,Market trends analysis,automation,0.4226190476190476,7.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.333333333333333,1.1547005383792517,0.3095238095238095,0.1030982623552903,4,8.0,market_trends,Market trends analysis,automation,0.3095238095238095,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.333333333333333,1.1547005383792517,0.1785714285714285,0.0927884361197612,4,9.0,market_trends,Market trends analysis,automation,0.1785714285714285,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0,market_trends,Market trends analysis,automation,0.0,10.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,1.5,0.5,0.8333333333333334,0.1909406539564933,4,1.0,meal_plan,Menu planning (GDPval-style),augmentation,0.8333333333333334,1.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.5,0.5,0.7797619047619048,0.0843895647545108,4,2.0,meal_plan,Menu planning (GDPval-style),augmentation,0.7797619047619048,2.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.6666666666666665,0.7637626158259733,0.5833333333333334,0.1443375672974064,4,3.0,meal_plan,Menu planning (GDPval-style),augmentation,0.5833333333333334,3.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.833333333333333,2.753785273643051,0.5416666666666666,0.1909406539564933,4,4.0,meal_plan,Menu planning (GDPval-style),augmentation,0.5416666666666666,4.0,panel_aggregate,aggregate
plain,plain,plain,4.375,2.868652413009751,0.4866071428571428,0.2630016263108973,4,5.0,meal_plan,Menu planning (GDPval-style),augmentation,0.4866071428571428,5.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,5.166666666666667,1.607275126832159,0.4404761904761904,0.1687791295090217,4,6.0,meal_plan,Menu planning (GDPval-style),augmentation,0.4404761904761904,6.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.333333333333333,1.5275252316519463,0.4345238095238095,0.0627122247193615,4,7.0,meal_plan,Menu planning (GDPval-style),augmentation,0.4345238095238095,7.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,1.0,0.3988095238095238,0.1620316379620976,4,8.0,meal_plan,Menu planning (GDPval-style),augmentation,0.3988095238095238,8.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,6.0,2.6457513110645907,0.3392857142857142,0.1812302065195039,4,9.0,meal_plan,Menu planning (GDPval-style),augmentation,0.3392857142857142,9.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,7.166666666666667,2.362907813126304,0.1666666666666666,0.2886751345948129,4,10.0,meal_plan,Menu planning (GDPval-style),augmentation,0.1666666666666666,10.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.0,1.0,0.7440476190476191,0.1161858410472805,4,1.0,meal_plan,Menu planning (GDPval-style),automation,0.7440476190476191,1.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.3333333333333335,1.4433756729740643,0.7222222222222222,0.1339395939026799,4,2.5,meal_plan,Menu planning (GDPval-style),automation,0.7222222222222222,2.5,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.8333333333333335,2.753785273643051,0.7222222222222222,0.2545875386086578,4,2.5,meal_plan,Menu planning (GDPval-style),automation,0.7222222222222222,2.5,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.5,1.8027756377319943,0.6547619047619048,0.135212103471435,4,4.0,meal_plan,Menu planning (GDPval-style),automation,0.6547619047619048,4.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.0,1.3228756555322954,0.611111111111111,0.271100295776988,4,5.0,meal_plan,Menu planning (GDPval-style),automation,0.611111111111111,5.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.6666666666666665,2.516611478423583,0.5952380952380952,0.2957680535429725,4,6.0,meal_plan,Menu planning (GDPval-style),automation,0.5952380952380952,6.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.333333333333333,1.0408329997330663,0.4682539682539682,0.1221809866534972,4,7.0,meal_plan,Menu planning (GDPval-style),automation,0.4682539682539682,7.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.666666666666667,1.5275252316519463,0.2678571428571428,0.1525714954520987,4,8.0,meal_plan,Menu planning (GDPval-style),automation,0.2678571428571428,8.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.333333333333333,0.5773502691896258,0.2142857142857142,0.1394687442126188,4,9.0,meal_plan,Menu planning (GDPval-style),automation,0.2142857142857142,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0,meal_plan,Menu planning (GDPval-style),automation,0.0,10.0,panel_aggregate,aggregate
plain,plain,plain,1.625,0.9464847243000456,0.8125,0.1613743060919757,4,1.0,operations_research,Operations research analyst memo,augmentation,0.8125,1.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.3333333333333335,0.5773502691896257,0.7857142857142857,0.0618589574131741,4,2.0,operations_research,Operations research analyst memo,augmentation,0.7857142857142857,2.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.3333333333333335,1.1547005383792517,0.6964285714285715,0.1881366741580846,4,3.0,operations_research,Operations research analyst memo,augmentation,0.6964285714285715,3.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,3.968626966596886,0.5416666666666666,0.3145764348029479,4,4.0,operations_research,Operations research analyst memo,augmentation,0.5416666666666666,4.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.0,0.3928571428571428,0.1287696884094282,4,5.0,operations_research,Operations research analyst memo,augmentation,0.3928571428571428,5.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.833333333333333,0.7637626158259733,0.3869047619047618,0.1076377459525305,4,6.0,operations_research,Operations research analyst memo,augmentation,0.3869047619047618,6.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,5.833333333333333,2.565800719723442,0.3333333333333333,0.1909406539564933,4,7.5,operations_research,Operations research analyst memo,augmentation,0.3333333333333333,7.5,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.666666666666667,2.081665999466133,0.3333333333333333,0.2886751345948129,4,7.5,operations_research,Operations research analyst memo,augmentation,0.3333333333333333,7.5,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.5,2.5,0.3154761904761904,0.2903273428156475,4,9.0,operations_research,Operations research analyst memo,augmentation,0.3154761904761904,9.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.833333333333333,0.2886751345948129,0.2976190476190476,0.1340277410618774,4,10.0,operations_research,Operations research analyst memo,augmentation,0.2976190476190476,10.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,2.5,0.8660254037844386,0.7380952380952381,0.1266892657963854,4,1.0,operations_research,Operations research analyst memo,automation,0.7380952380952381,1.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.6666666666666665,2.4664414311581235,0.7222222222222222,0.2545875386086578,4,2.0,operations_research,Operations research analyst memo,automation,0.7222222222222222,2.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.1666666666666665,1.7559422921421233,0.6845238095238096,0.230304072882775,4,3.0,operations_research,Operations research analyst memo,automation,0.6845238095238096,3.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.8333333333333335,2.3094010767585034,0.6805555555555555,0.1878854063676206,4,4.0,operations_research,Operations research analyst memo,automation,0.6805555555555555,4.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.6666666666666665,1.7559422921421233,0.5634920634920635,0.2676145285728153,4,5.0,operations_research,Operations research analyst memo,automation,0.5634920634920635,5.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.333333333333333,1.0408329997330663,0.4861111111111111,0.1463285243451769,4,6.0,operations_research,Operations research analyst memo,automation,0.4861111111111111,6.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,5.333333333333333,0.2886751345948129,0.4761904761904762,0.0412393049421161,4,7.5,operations_research,Operations research analyst memo,automation,0.4761904761904762,7.5,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,4.833333333333333,3.253203549323856,0.4761904761904762,0.3772607589878767,4,7.5,operations_research,Operations research analyst memo,automation,0.4761904761904762,7.5,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.333333333333333,0.5773502691896257,0.1726190476190476,0.0676060517357175,4,9.0,operations_research,Operations research analyst memo,automation,0.1726190476190476,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0,operations_research,Operations research analyst memo,automation,0.0,10.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,2.6666666666666665,2.886751345948129,0.7678571428571429,0.3004036400225129,4,1.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.7678571428571429,1.0,panel_aggregate,aggregate
plain,plain,plain,2.375,1.3768926368215255,0.75,0.2041241452319315,4,2.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.75,2.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.1666666666666665,1.4433756729740643,0.6071428571428571,0.1287696884094282,4,3.5,tax_prep,Tax preparation discrepancy spotting,augmentation,0.6071428571428571,3.5,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,4.333333333333333,2.516611478423583,0.6071428571428571,0.2519059996368908,4,3.5,tax_prep,Tax preparation discrepancy spotting,augmentation,0.6071428571428571,3.5,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.666666666666667,2.081665999466133,0.5,0.125,4,5.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.5,5.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,4.166666666666667,2.254624876411447,0.4880952380952381,0.2323716820945612,4,6.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.4880952380952381,6.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,4.5,0.5,0.4404761904761904,0.1687791295090217,4,7.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.4404761904761904,7.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.166666666666667,3.617089069035117,0.2916666666666667,0.4018187817080398,4,8.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.2916666666666667,8.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.666666666666667,2.254624876411447,0.25,0.0,4,9.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.25,9.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,7.5,0.8660254037844386,0.2142857142857142,0.1394687442126188,4,10.0,tax_prep,Tax preparation discrepancy spotting,augmentation,0.2142857142857142,10.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.0,0.5,0.7638888888888888,0.1048588116009826,4,1.0,tax_prep,Tax preparation discrepancy spotting,automation,0.7638888888888888,1.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.8333333333333335,1.607275126832159,0.6527777777777778,0.3342002615421101,4,2.0,tax_prep,Tax preparation discrepancy spotting,automation,0.6527777777777778,2.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.3333333333333335,2.753785273643051,0.6329365079365079,0.2428347717676376,4,3.0,tax_prep,Tax preparation discrepancy spotting,automation,0.6329365079365079,3.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.8333333333333335,1.607275126832159,0.6190476190476191,0.2061965247105806,4,4.0,tax_prep,Tax preparation discrepancy spotting,automation,0.6190476190476191,4.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,3.6666666666666665,3.0550504633038935,0.5892857142857143,0.4296860505541416,4,5.0,tax_prep,Tax preparation discrepancy spotting,automation,0.5892857142857143,5.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.0,1.3228756555322954,0.5595238095238095,0.1687791295090217,4,6.0,tax_prep,Tax preparation discrepancy spotting,automation,0.5595238095238095,6.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.333333333333333,2.8431203515386634,0.4801587301587302,0.329125941107047,4,7.0,tax_prep,Tax preparation discrepancy spotting,automation,0.4801587301587302,7.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,5.833333333333333,0.7637626158259734,0.3928571428571428,0.030929478706587,4,8.0,tax_prep,Tax preparation discrepancy spotting,automation,0.3928571428571428,8.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,6.833333333333333,1.6072751268321592,0.3095238095238095,0.1030982623552903,4,9.0,tax_prep,Tax preparation discrepancy spotting,automation,0.3095238095238095,9.0,panel_aggregate,aggregate
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.666666666666666,0.5773502691896258,0.0,0.0,4,10.0,tax_prep,Tax preparation discrepancy spotting,automation,0.0,10.0,panel_aggregate,aggregate
plain,plain,plain,2.75,3.5,0.71875,0.4130047416999793,4,1.0,travel_planning,Travel agent itinerary,augmentation,0.71875,1.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,3.0,2.0,0.6547619047619048,0.3785265022758249,4,2.0,travel_planning,Travel agent itinerary,augmentation,0.6547619047619048,2.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.5,0.8660254037844386,0.5714285714285715,0.1237179148263484,4,3.0,travel_planning,Travel agent itinerary,augmentation,0.5714285714285715,3.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.166666666666667,2.9297326385411577,0.5416666666666666,0.3145764348029479,4,4.0,travel_planning,Travel agent itinerary,augmentation,0.5416666666666666,4.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.333333333333333,1.5275252316519463,0.5119047619047619,0.1958866984750516,4,5.0,travel_planning,Travel agent itinerary,augmentation,0.5119047619047619,5.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,4.666666666666667,1.5275252316519468,0.4583333333333333,0.0721687836487032,4,6.0,travel_planning,Travel agent itinerary,augmentation,0.4583333333333333,6.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,5.166666666666667,0.7637626158259733,0.4345238095238095,0.0627122247193615,4,7.0,travel_planning,Travel agent itinerary,augmentation,0.4345238095238095,7.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,6.333333333333333,3.0550504633038935,0.3630952380952381,0.3104952703748804,4,8.0,travel_planning,Travel agent itinerary,augmentation,0.3630952380952381,8.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,3.605551275463989,0.3392857142857142,0.4694085510033898,4,9.0,travel_planning,Travel agent itinerary,augmentation,0.3392857142857142,9.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,6.166666666666667,2.753785273643051,0.3333333333333333,0.3818813079129866,4,10.0,travel_planning,Travel agent itinerary,augmentation,0.3333333333333333,10.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,2.1666666666666665,0.7637626158259733,0.7857142857142857,0.1394687442126188,4,1.0,travel_planning,Travel agent itinerary,automation,0.7857142857142857,1.0,panel_aggregate,aggregate
