replicate_id,output,condition,assistant_model,worker_model
1,"Day 1  
 Breakfast  
 • Scrambled eggs (2–3 eggs) with chopped tomato & baby spinach (small handful)  
 • 1 slice gluten-free toast with a smear of lactose-free spread  
 Lunch  
 • Grilled chicken breast with a side of roasted sweet potatoes  
 Dinner  
 • Mexican beef and potato skillet:  
   – Sauté ground beef with diced potatoes, bell peppers, and Mexican spices  
   – Serve with a side of avocado slices  
 Snack  
 • Apple slices with almond butter  

Day 2  
 Breakfast  
 • Gluten-free oats cooked in almond milk, topped with sliced strawberries and a sprinkle of cinnamon  
 Lunch  
 • Leftover Mexican beef and potato skillet  
 Dinner  
 • Thai coconut curry with chicken and vegetables:  
   – Sauté chicken with mixed vegetables in a Thai curry paste and coconut milk  
   – Serve over rice or rice noodles  
 Snack  
 • Carrot sticks with hummus  

Day 3  
 Breakfast  
 • Omelette (2–3 eggs) with diced bell peppers and dairy-free cheese  
 Lunch  
 • Baked salmon with a side of quinoa and roasted asparagus  
 Dinner  
 • Indian spiced lentil soup with potatoes:  
   – Cook lentils with diced potatoes and Indian spices  
   – Serve with a side of gluten-free naan bread  
 Snack  
 • Rice cakes with sliced cucumber  

Day 4  
 Breakfast  
 • GF toast with mashed avocado and cherry tomatoes  
 Lunch  
 • Thai beef salad:  
   – Grilled beef slices over a bed of mixed greens, cucumber, and a Thai dressing  
 Dinner  
 • Mexican stuffed sweet potatoes:  
   – Baked sweet potatoes stuffed with seasoned ground beef, black beans, and dairy-free cheese  
 Snack  
 • Mixed berries with dairy-free yogurt  

Day 5  
 Breakfast  
 • Breakfast hash: diced sweet potatoes sautéed with garlic, spinach, and cherry tomatoes; top with a fried egg  
 Lunch  
 • Indian spiced chicken with roasted cauliflower and basmati rice  
 Dinner  
 • Thai peanut chicken stir-fry:  
   – Sauté chicken with mixed vegetables in a Thai peanut sauce  
   – Serve over rice or rice noodles  
 Snack  
 • Rice cakes with almond butter  

Feel free to adjust portion sizes and ingredients based on your preferences and dietary needs. Enjoy your meals!",scaffold_GPT-O4-Mini,GPT-O4-Mini,gpt-3.5-turbo
2,"Day 1  
 Breakfast  
 • Scrambled eggs (2–3 eggs) with chopped tomato & baby spinach (small handful)  
 • 1 slice gluten-free toast with a smear of lactose-free spread  
 Lunch  
 • Grilled chicken breast with a side of roasted sweet potatoes  
 Dinner  
 • Mexican beef and potato skillet:  
   – Sauté ground beef with diced potatoes, bell peppers, and Mexican spices  
   – Serve with a side of avocado slices  
 Snack  
 • Apple slices with almond butter  

Day 2  
 Breakfast  
 • Gluten-free oats cooked in almond milk, topped with sliced strawberries and a sprinkle of cinnamon  
 Lunch  
 • Leftover Mexican beef and potato skillet  
 Dinner  
 • Thai coconut curry with chicken and vegetables:  
   – Sauté chicken with mixed vegetables in a Thai curry paste and coconut milk  
   – Serve over rice or rice noodles  
 Snack  
 • Carrot sticks with hummus  

Day 3  
 Breakfast  
 • Omelette (2–3 eggs) with diced bell peppers and dairy-free cheese  
 Lunch  
 • Baked salmon with a side of quinoa and roasted asparagus  
 Dinner  
 • Indian spiced lentil soup with potatoes:  
   – Cook lentils with diced potatoes and Indian spices  
   – Serve with a side of gluten-free naan bread  
 Snack  
 • Rice cakes with sliced cucumber  

Day 4  
 Breakfast  
 • GF toast with mashed avocado and cherry tomatoes  
 Lunch  
 • Thai beef salad:  
   – Grilled beef slices over a bed of mixed greens, cucumber, and a Thai dressing  
 Dinner  
 • Mexican stuffed sweet potatoes:  
   – Baked sweet potatoes stuffed with seasoned ground beef, black beans, and dairy-free cheese  
 Snack  
 • Mixed berries with dairy-free yogurt  

Day 5  
 Breakfast  
 • Breakfast hash: diced sweet potatoes sautéed with garlic, spinach, and cherry tomatoes; top with a fried egg  
 Lunch  
 • Indian spiced chicken with roasted cauliflower and basmati rice  
 Dinner  
 • Thai peanut chicken stir-fry:  
   – Sauté chicken with mixed vegetables in a Thai peanut sauce  
   – Serve over rice or rice noodles  
 Snack  
 • Rice cakes with almond butter  

Feel free to adjust portion sizes and ingredients based on your preferences and dietary needs. Enjoy your meals!",scaffold_GPT-O4-Mini,GPT-O4-Mini,gpt-3.5-turbo
0,"Based on your requirements and preferences, here is a 7-day meal plan for you:

Day 1:
Breakfast: Scrambled Eggs with Spinach & Tomato
Lunch: Chicken & Potato Indian Curry
Dinner: Thai Grilled Beef Salad

Day 2:
Breakfast: Overnight Gluten-Free Oats
Lunch: Mexican Chicken Lettuce Wraps
Dinner: Baked Potato with Chili (using gluten-free ingredients)

Day 3:
Breakfast: Greek Yogurt Parfait with Berries (using lactose-free yogurt)
Lunch: Beef Tacos with Corn Tortillas (using gluten-free tortillas)
Dinner: Chicken Tikka Masala with Rice

Day 4:
Breakfast: Avocado Toast on Gluten-Free Bread
Lunch: Thai Coconut Curry Soup with Chicken
Dinner: Baked Salmon with Roasted Potatoes

Day 5:
Breakfast: Smoothie Bowl with Mixed Berries and Almond Milk
Lunch: Beef Stir-Fry with Vegetables and Rice
Dinner: Quinoa Stuffed Bell Peppers

Day 6:
Breakfast: Breakfast Burrito with Eggs, Potatoes, and Salsa (using gluten-free tortillas)
Lunch: Thai Basil Beef Stir-Fry
Dinner: Indian Lentil Soup (Dal) with Naan (using gluten-free naan)

Day 7:
Breakfast: Chia Seed Pudding with Almond Milk and Mango
Lunch: Mexican Quinoa Salad with Black Beans and Avocado
Dinner: Grilled Chicken with Sweet Potato Fries

Feel free to adjust portion sizes and ingredients based on your appetite and preferences. Enjoy your meals!",scaffold_GPT-O3-Mini,GPT-O3-Mini,gpt-3.5-turbo
1,"Based on your requirements and preferences, here is a 7-day meal plan for you:

Day 1:
Breakfast: Scrambled Eggs with Spinach & Tomato
Lunch: Chicken & Potato Indian Curry
Dinner: Thai Grilled Beef Salad

Day 2:
Breakfast: Overnight Gluten-Free Oats
Lunch: Mexican Chicken Lettuce Wraps
Dinner: Baked Potato with Chili (using gluten-free ingredients)

Day 3:
Breakfast: Greek Yogurt Parfait with Berries (using lactose-free yogurt)
Lunch: Beef Tacos with Corn Tortillas (using gluten-free tortillas)
Dinner: Chicken Tikka Masala with Rice

Day 4:
Breakfast: Avocado Toast on Gluten-Free Bread
Lunch: Thai Coconut Curry Soup with Chicken
Dinner: Baked Salmon with Roasted Potatoes

Day 5:
Breakfast: Smoothie Bowl with Mixed Berries and Almond Milk
Lunch: Beef Stir-Fry with Vegetables and Rice
Dinner: Quinoa Stuffed Bell Peppers

Day 6:
Breakfast: Breakfast Burrito with Eggs, Potatoes, and Salsa (using gluten-free tortillas)
Lunch: Thai Basil Beef Stir-Fry
Dinner: Indian Lentil Soup (Dal) with Naan (using gluten-free naan)

Day 7:
Breakfast: Chia Seed Pudding with Almond Milk and Mango
Lunch: Mexican Quinoa Salad with Black Beans and Avocado
Dinner: Grilled Chicken with Sweet Potato Fries

Feel free to adjust portion sizes and ingredients based on your appetite and preferences. Enjoy your meals!",scaffold_GPT-O3-Mini,GPT-O3-Mini,gpt-3.5-turbo
2,"Based on your requirements and preferences, here is a 7-day meal plan for you:

Day 1:
Breakfast: Scrambled Eggs with Spinach & Tomato
Lunch: Chicken & Potato Indian Curry
Dinner: Thai Grilled Beef Salad

Day 2:
Breakfast: Overnight Gluten-Free Oats
Lunch: Mexican Chicken Lettuce Wraps
Dinner: Baked Potato with Chili (using gluten-free ingredients)

Day 3:
Breakfast: Greek Yogurt Parfait with Berries (using lactose-free yogurt)
Lunch: Beef Tacos with Corn Tortillas (using gluten-free tortillas)
Dinner: Chicken Tikka Masala with Rice

Day 4:
Breakfast: Avocado Toast on Gluten-Free Bread
Lunch: Thai Coconut Curry Soup with Chicken
Dinner: Baked Salmon with Roasted Potatoes

Day 5:
Breakfast: Smoothie Bowl with Mixed Berries and Almond Milk
Lunch: Beef Stir-Fry with Vegetables and Rice
Dinner: Quinoa Stuffed Bell Peppers

Day 6:
Breakfast: Breakfast Burrito with Eggs, Potatoes, and Salsa (using gluten-free tortillas)
Lunch: Thai Basil Beef Stir-Fry
Dinner: Indian Lentil Soup (Dal) with Naan (using gluten-free naan)

Day 7:
Breakfast: Chia Seed Pudding with Almond Milk and Mango
Lunch: Mexican Quinoa Salad with Black Beans and Avocado
Dinner: Grilled Chicken with Sweet Potato Fries

Feel free to adjust portion sizes and ingredients based on your appetite and preferences. Enjoy your meals!",scaffold_GPT-O3-Mini,GPT-O3-Mini,gpt-3.5-turbo
0,"| Day | Breakfast (≈ 400 kcal) | Lunch (≈ 600 kcal) | Dinner (≈ 800 kcal) | Snack (≈ 200 kcal) |
|-----|------------------------|-------------------|---------------------|-------------------|
| **Mon** | **Savory Oat‑Egg Muffins**  <br>• ½ cup gluten‑free rolled oats, 1 egg, ¼ cup lactose‑free milk (almond/soy), 1 tbsp chopped chives, pinch of smoked paprika, ½ tsp olive oil. Blend, pour into a muffin tin, bake 15 min @ 180 °C. 2 muffins + a small orange. | **Mexican‑Style Chicken & Rice**  <br>• 120 g skinless chicken thigh, diced <br>• ½ cup cooked brown rice <br>• ½ cup black beans (rinsed) <br>• ¼ cup corn kernels <br>• 1 tsp cumin, ½ tsp chili powder, lime juice, cilantro. Cook chicken in 1 tsp oil, add spices, combine with rice/beans/corn. | **Thai‑Green Curry Beef**  <br>• 150 g lean beef strips <br>• 1 cup frozen mixed Asian veg (no onion) <br>• 1 cup coconut milk (light) <br>• 1 tbsp green curry paste (check for gluten) <br>• ½ cup jasmine rice. Simmer beef & veg in curry sauce, serve over rice. | 1 small banana + 1 tbsp peanut butter |
| **Tue** | **Potato‑Spinach Frittata**  <br>• 1 medium boiled potato, sliced <br>• 2 eggs <br>• ½ cup fresh spinach <br>• 1 tsp olive oil, pinch of nutmeg. Layer potato & spinach in a skillet, pour beaten eggs, cook 8 min, finish under grill. | **Indian‑Style Lentil & Veg Stew**  <br>• ½ cup red lentils <br>• 1 cup diced carrots & peas (frozen) <br>• 1 tbsp curry powder, ½ tsp turmeric, 1 tbsp coconut oil. Cook lentils & veg with spices in water, finish with coconut oil. | **Grilled Salmon with Roasted Potatoes**  <br>• 150 g salmon fillet <br>• 1 medium sweet potato, cubed <br>• 1 tbsp olive oil, 1 tsp dill, lemon wedges. Season salmon, bake with sweet potatoes @ 200 °C for 20 min. | 10 almonds |
| **Wed** | **Greek Yogurt Parfait**  <br>• 1 cup lactose‑free Greek yogurt <br>• ½ cup gluten‑free granola <br>• ½ cup mixed berries. Layer in a glass. | **Turkey & Avocado Wrap**  <br>• 100 g sliced turkey breast <br>• 1 small avocado, mashed <br>• lettuce leaves, gluten‑free wrap. Fill wrap with turkey, avocado, lettuce. | **Beef & Veggie Stir‑Fry**  <br>• 150 g beef strips <br>• 1 cup mixed stir‑fry veg (no onion) <br>• 1 tbsp gluten‑free soy sauce, 1 tbsp olive oil. Stir‑fry beef & veg in sauce. Serve over rice or quinoa. | 1 small apple + 1 tbsp sunflower seeds |
| **Thu** | **Chia Seed Pudding**  <br>• 2 tbsp chia seeds, ½ cup lactose‑free milk (almond/soy), 1 tsp maple syrup, ½ tsp vanilla extract. Mix, refrigerate overnight. Top with sliced banana. | **Caprese Salad**  <br>• 1 cup cherry tomatoes, halved <br>• 1 small mozzarella ball, diced <br>• fresh basil",scaffold_GPT-OSS-120B,GPT-OSS-120B,gpt-3.5-turbo
1,"| Day | Breakfast (≈ 400 kcal) | Lunch (≈ 600 kcal) | Dinner (≈ 800 kcal) | Snack (≈ 200 kcal) |
|-----|------------------------|-------------------|---------------------|-------------------|
| **Mon** | **Savory Oat‑Egg Muffins**  <br>• ½ cup gluten‑free rolled oats, 1 egg, ¼ cup lactose‑free milk (almond/soy), 1 tbsp chopped chives, pinch of smoked paprika, ½ tsp olive oil. Blend, pour into a muffin tin, bake 15 min @ 180 °C. 2 muffins + a small orange. | **Mexican‑Style Chicken & Rice**  <br>• 120 g skinless chicken thigh, diced <br>• ½ cup cooked brown rice <br>• ½ cup black beans (rinsed) <br>• ¼ cup corn kernels <br>• 1 tsp cumin, ½ tsp chili powder, lime juice, cilantro. Cook chicken in 1 tsp oil, add spices, combine with rice/beans/corn. | **Thai‑Green Curry Beef**  <br>• 150 g lean beef strips <br>• 1 cup frozen mixed Asian veg (no onion) <br>• 1 cup coconut milk (light) <br>• 1 tbsp green curry paste (check for gluten) <br>• ½ cup jasmine rice. Simmer beef & veg in curry sauce, serve over rice. | 1 small banana + 1 tbsp peanut butter |
| **Tue** | **Potato‑Spinach Frittata**  <br>• 1 medium boiled potato, sliced <br>• 2 eggs <br>• ½ cup fresh spinach <br>• 1 tsp olive oil, pinch of nutmeg. Layer potato & spinach in a skillet, pour beaten eggs, cook 8 min, finish under grill. | **Indian‑Style Lentil & Veg Stew**  <br>• ½ cup red lentils <br>• 1 cup diced carrots & peas (frozen) <br>• 1 tbsp curry powder, ½ tsp turmeric, 1 tbsp coconut oil. Cook lentils & veg with spices in water, finish with coconut oil. | **Grilled Salmon with Roasted Potatoes**  <br>• 150 g salmon fillet <br>• 1 medium sweet potato, cubed <br>• 1 tbsp olive oil, 1 tsp dill, lemon wedges. Season salmon, bake with sweet potatoes @ 200 °C for 20 min. | 10 almonds |
| **Wed** | **Greek Yogurt Parfait**  <br>• 1 cup lactose‑free Greek yogurt <br>• ½ cup gluten‑free granola <br>• ½ cup mixed berries. Layer in a glass. | **Turkey & Avocado Wrap**  <br>• 100 g sliced turkey breast <br>• 1 small avocado, mashed <br>• lettuce leaves, gluten‑free wrap. Fill wrap with turkey, avocado, lettuce. | **Beef & Veggie Stir‑Fry**  <br>• 150 g beef strips <br>• 1 cup mixed stir‑fry veg (no onion) <br>• 1 tbsp gluten‑free soy sauce, 1 tbsp olive oil. Stir‑fry beef & veg in sauce. Serve over rice or quinoa. | 1 small apple + 1 tbsp sunflower seeds |
| **Thu** | **Chia Seed Pudding**  <br>• 2 tbsp chia seeds, ½ cup lactose‑free milk (almond/soy), 1 tsp maple syrup, ½ tsp vanilla extract. Mix, refrigerate overnight. Top with sliced banana. | **Caprese Salad**  <br>• 1 cup cherry tomatoes, halved <br>• 1 small mozzarella ball, diced <br>• fresh basil",scaffold_GPT-OSS-120B,GPT-OSS-120B,gpt-3.5-turbo
2,"| Day | Breakfast (≈ 400 kcal) | Lunch (≈ 600 kcal) | Dinner (≈ 800 kcal) | Snack (≈ 200 kcal) |
|-----|------------------------|-------------------|---------------------|-------------------|
| **Mon** | **Savory Oat‑Egg Muffins**  <br>• ½ cup gluten‑free rolled oats, 1 egg, ¼ cup lactose‑free milk (almond/soy), 1 tbsp chopped chives, pinch of smoked paprika, ½ tsp olive oil. Blend, pour into a muffin tin, bake 15 min @ 180 °C. 2 muffins + a small orange. | **Mexican‑Style Chicken & Rice**  <br>• 120 g skinless chicken thigh, diced <br>• ½ cup cooked brown rice <br>• ½ cup black beans (rinsed) <br>• ¼ cup corn kernels <br>• 1 tsp cumin, ½ tsp chili powder, lime juice, cilantro. Cook chicken in 1 tsp oil, add spices, combine with rice/beans/corn. | **Thai‑Green Curry Beef**  <br>• 150 g lean beef strips <br>• 1 cup frozen mixed Asian veg (no onion) <br>• 1 cup coconut milk (light) <br>• 1 tbsp green curry paste (check for gluten) <br>• ½ cup jasmine rice. Simmer beef & veg in curry sauce, serve over rice. | 1 small banana + 1 tbsp peanut butter |
| **Tue** | **Potato‑Spinach Frittata**  <br>• 1 medium boiled potato, sliced <br>• 2 eggs <br>• ½ cup fresh spinach <br>• 1 tsp olive oil, pinch of nutmeg. Layer potato & spinach in a skillet, pour beaten eggs, cook 8 min, finish under grill. | **Indian‑Style Lentil & Veg Stew**  <br>• ½ cup red lentils <br>• 1 cup diced carrots & peas (frozen) <br>• 1 tbsp curry powder, ½ tsp turmeric, 1 tbsp coconut oil. Cook lentils & veg with spices in water, finish with coconut oil. | **Grilled Salmon with Roasted Potatoes**  <br>• 150 g salmon fillet <br>• 1 medium sweet potato, cubed <br>• 1 tbsp olive oil, 1 tsp dill, lemon wedges. Season salmon, bake with sweet potatoes @ 200 °C for 20 min. | 10 almonds |
| **Wed** | **Greek Yogurt Parfait**  <br>• 1 cup lactose‑free Greek yogurt <br>• ½ cup gluten‑free granola <br>• ½ cup mixed berries. Layer in a glass. | **Turkey & Avocado Wrap**  <br>• 100 g sliced turkey breast <br>• 1 small avocado, mashed <br>• lettuce leaves, gluten‑free wrap. Fill wrap with turkey, avocado, lettuce. | **Beef & Veggie Stir‑Fry**  <br>• 150 g beef strips <br>• 1 cup mixed stir‑fry veg (no onion) <br>• 1 tbsp gluten‑free soy sauce, 1 tbsp olive oil. Stir‑fry beef & veg in sauce. Serve over rice or quinoa. | 1 small apple + 1 tbsp sunflower seeds |
| **Thu** | **Chia Seed Pudding**  <br>• 2 tbsp chia seeds, ½ cup lactose‑free milk (almond/soy), 1 tsp maple syrup, ½ tsp vanilla extract. Mix, refrigerate overnight. Top with sliced banana. | **Caprese Salad**  <br>• 1 cup cherry tomatoes, halved <br>• 1 small mozzarella ball, diced <br>• fresh basil",scaffold_GPT-OSS-120B,GPT-OSS-120B,gpt-3.5-turbo
0,"Here's a budget-friendly and simple 7-day meal plan tailored to your requirements and preferences:

Day 1:
Breakfast: Scrambled eggs with spinach and tomatoes
Lunch: Turkey and avocado wrap in a gluten-free tortilla
Dinner: Baked chicken with roasted sweet potatoes and green beans

Day 2:
Breakfast: Greek yogurt with mixed berries and gluten-free granola
Lunch: Quinoa salad with grilled chicken, cucumber, and bell peppers
Dinner: Beef stir-fry with mixed vegetables and rice (no onion)

Day 3:
Breakfast: Omelette with mushrooms and spinach
Lunch: Black bean and corn salad with grilled chicken
Dinner: Baked salmon with quinoa and steamed broccoli

Day 4:
Breakfast: Smoothie with lactose-free yogurt, banana, and spinach
Lunch: Taco salad with ground beef, lettuce, tomatoes, and avocado
Dinner: Thai red curry with chicken and vegetables served with rice (no onion)

Day 5:
Breakfast: Chia seed pudding with almond milk and mixed berries
Lunch: Turkey and lettuce wraps with hummus
Dinner: Indian butter chicken with cauliflower rice

Day 6:
Breakfast: Gluten-free toast with mashed avocado and sliced tomato
Lunch: Lentil soup with gluten-free crackers
Dinner: Beef and vegetable stir-fry with rice noodles (no onion)

Day 7:
Breakfast: Lactose-free yogurt with sliced peaches and gluten-free granola
Lunch: Turkey and cranberry sandwich on gluten-free bread
Dinner: Baked chicken with sweet potato fries and steamed green beans

Remember to adjust portion sizes according to your caloric needs and consult with a healthcare professional or nutritionist if you have any specific dietary requirements or restrictions. Enjoy your meals!",scaffold_Claude-3.5-Sonnet,Claude-3.5-Sonnet,gpt-3.5-turbo
1,"Here's a budget-friendly and simple 7-day meal plan tailored to your requirements and preferences:

Day 1:
Breakfast: Scrambled eggs with spinach and tomatoes
Lunch: Turkey and avocado wrap in a gluten-free tortilla
Dinner: Baked chicken with roasted sweet potatoes and green beans

Day 2:
Breakfast: Greek yogurt with mixed berries and gluten-free granola
Lunch: Quinoa salad with grilled chicken, cucumber, and bell peppers
Dinner: Beef stir-fry with mixed vegetables and rice (no onion)

Day 3:
Breakfast: Omelette with mushrooms and spinach
Lunch: Black bean and corn salad with grilled chicken
Dinner: Baked salmon with quinoa and steamed broccoli

Day 4:
Breakfast: Smoothie with lactose-free yogurt, banana, and spinach
Lunch: Taco salad with ground beef, lettuce, tomatoes, and avocado
Dinner: Thai red curry with chicken and vegetables served with rice (no onion)

Day 5:
Breakfast: Chia seed pudding with almond milk and mixed berries
Lunch: Turkey and lettuce wraps with hummus
Dinner: Indian butter chicken with cauliflower rice

Day 6:
Breakfast: Gluten-free toast with mashed avocado and sliced tomato
Lunch: Lentil soup with gluten-free crackers
Dinner: Beef and vegetable stir-fry with rice noodles (no onion)

Day 7:
Breakfast: Lactose-free yogurt with sliced peaches and gluten-free granola
Lunch: Turkey and cranberry sandwich on gluten-free bread
Dinner: Baked chicken with sweet potato fries and steamed green beans

Remember to adjust portion sizes according to your caloric needs and consult with a healthcare professional or nutritionist if you have any specific dietary requirements or restrictions. Enjoy your meals!",scaffold_Claude-3.5-Sonnet,Claude-3.5-Sonnet,gpt-3.5-turbo
2,"Here's a budget-friendly and simple 7-day meal plan tailored to your requirements and preferences:

Day 1:
Breakfast: Scrambled eggs with spinach and tomatoes
Lunch: Turkey and avocado wrap in a gluten-free tortilla
Dinner: Baked chicken with roasted sweet potatoes and green beans

Day 2:
Breakfast: Greek yogurt with mixed berries and gluten-free granola
Lunch: Quinoa salad with grilled chicken, cucumber, and bell peppers
Dinner: Beef stir-fry with mixed vegetables and rice (no onion)

Day 3:
Breakfast: Omelette with mushrooms and spinach
Lunch: Black bean and corn salad with grilled chicken
Dinner: Baked salmon with quinoa and steamed broccoli

Day 4:
Breakfast: Smoothie with lactose-free yogurt, banana, and spinach
Lunch: Taco salad with ground beef, lettuce, tomatoes, and avocado
Dinner: Thai red curry with chicken and vegetables served with rice (no onion)

Day 5:
Breakfast: Chia seed pudding with almond milk and mixed berries
Lunch: Turkey and lettuce wraps with hummus
Dinner: Indian butter chicken with cauliflower rice

Day 6:
Breakfast: Gluten-free toast with mashed avocado and sliced tomato
Lunch: Lentil soup with gluten-free crackers
Dinner: Beef and vegetable stir-fry with rice noodles (no onion)

Day 7:
Breakfast: Lactose-free yogurt with sliced peaches and gluten-free granola
Lunch: Turkey and cranberry sandwich on gluten-free bread
Dinner: Baked chicken with sweet potato fries and steamed green beans

Remember to adjust portion sizes according to your caloric needs and consult with a healthcare professional or nutritionist if you have any specific dietary requirements or restrictions. Enjoy your meals!",scaffold_Claude-3.5-Sonnet,Claude-3.5-Sonnet,gpt-3.5-turbo
0,"Day 1:
- Breakfast: Scrambled eggs with spinach and tomatoes
- Lunch: Grilled chicken salad with mixed greens, cucumber, and avocado
- Dinner: Beef stir-fry with mixed vegetables and rice

Day 2:
- Breakfast: Greek yogurt with berries and almonds
- Lunch: Turkey and avocado wrap with lettuce and tomato
- Dinner: Baked salmon with sweet potato and asparagus

Day 3:
- Breakfast: Oatmeal with banana and almond milk
- Lunch: Quinoa salad with black beans, corn, and salsa
- Dinner: Chicken curry with cauliflower rice

Day 4:
- Breakfast: Smoothie with spinach, banana, and almond milk
- Lunch: Lentil soup with carrots and celery
- Dinner: Beef tacos with lettuce, tomato, and guacamole

Day 5:
- Breakfast: Chia pudding with coconut milk and strawberries
- Lunch: Grilled shrimp skewers with zucchini and bell peppers
- Dinner: Chicken tikka masala with basmati rice

Day 6:
- Breakfast: Avocado toast with tomato and hemp seeds
- Lunch: Thai peanut chicken salad with cabbage and peanuts
- Dinner: Beef and broccoli stir-fry with quinoa

Day 7:
- Breakfast: Smoothie bowl with mixed berries and granola
- Lunch: Turkey and avocado lettuce wraps with cucumber
- Dinner: Vegetable curry with chickpeas and brown rice

Remember to drink plenty of water throughout the day and listen to your body's hunger and fullness cues. Feel free to adjust portion sizes and ingredients based on your personal preferences and dietary needs. Enjoy your meals!",scaffold_GPT-5.4,GPT-5.4,gpt-3.5-turbo
1,"Day 1:
- Breakfast: Scrambled eggs with spinach and tomatoes
- Lunch: Grilled chicken salad with mixed greens, cucumber, and avocado
- Dinner: Beef stir-fry with mixed vegetables and rice

Day 2:
- Breakfast: Greek yogurt with berries and almonds
- Lunch: Turkey and avocado wrap with lettuce and tomato
- Dinner: Baked salmon with sweet potato and asparagus

Day 3:
- Breakfast: Oatmeal with banana and almond milk
- Lunch: Quinoa salad with black beans, corn, and salsa
- Dinner: Chicken curry with cauliflower rice

Day 4:
- Breakfast: Smoothie with spinach, banana, and almond milk
- Lunch: Lentil soup with carrots and celery
- Dinner: Beef tacos with lettuce, tomato, and guacamole

Day 5:
- Breakfast: Chia pudding with coconut milk and strawberries
- Lunch: Grilled shrimp skewers with zucchini and bell peppers
- Dinner: Chicken tikka masala with basmati rice

Day 6:
- Breakfast: Avocado toast with tomato and hemp seeds
- Lunch: Thai peanut chicken salad with cabbage and peanuts
- Dinner: Beef and broccoli stir-fry with quinoa

Day 7:
- Breakfast: Smoothie bowl with mixed berries and granola
- Lunch: Turkey and avocado lettuce wraps with cucumber
- Dinner: Vegetable curry with chickpeas and brown rice

Remember to drink plenty of water throughout the day and listen to your body's hunger and fullness cues. Feel free to adjust portion sizes and ingredients based on your personal preferences and dietary needs. Enjoy your meals!",scaffold_GPT-5.4,GPT-5.4,gpt-3.5-turbo
2,"Day 1:
- Breakfast: Scrambled eggs with spinach and tomatoes
- Lunch: Grilled chicken salad with mixed greens, cucumber, and avocado
- Dinner: Beef stir-fry with mixed vegetables and rice

Day 2:
- Breakfast: Greek yogurt with berries and almonds
- Lunch: Turkey and avocado wrap with lettuce and tomato
- Dinner: Baked salmon with sweet potato and asparagus

Day 3:
- Breakfast: Oatmeal with banana and almond milk
- Lunch: Quinoa salad with black beans, corn, and salsa
- Dinner: Chicken curry with cauliflower rice

Day 4:
- Breakfast: Smoothie with spinach, banana, and almond milk
- Lunch: Lentil soup with carrots and celery
- Dinner: Beef tacos with lettuce, tomato, and guacamole

Day 5:
- Breakfast: Chia pudding with coconut milk and strawberries
- Lunch: Grilled shrimp skewers with zucchini and bell peppers
- Dinner: Chicken tikka masala with basmati rice

Day 6:
- Breakfast: Avocado toast with tomato and hemp seeds
- Lunch: Thai peanut chicken salad with cabbage and peanuts
- Dinner: Beef and broccoli stir-fry with quinoa

Day 7:
- Breakfast: Smoothie bowl with mixed berries and granola
- Lunch: Turkey and avocado lettuce wraps with cucumber
- Dinner: Vegetable curry with chickpeas and brown rice

Remember to drink plenty of water throughout the day and listen to your body's hunger and fullness cues. Feel free to adjust portion sizes and ingredients based on your personal preferences and dietary needs. Enjoy your meals!",scaffold_GPT-5.4,GPT-5.4,gpt-3.5-turbo
