judge_model,model_id,model_label,condition,avg_rank,avg_win_rate,total_wins,total_games
google/gemini-3.1-pro,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,,,0.0,0.0
gpt-4.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,0.6666666666666666,6.0,9.0
gpt-4.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,2.5,0.5555555555555556,5.0,9.0
gpt-4.1,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.5,0.5555555555555556,5.0,9.0
gpt-4.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.0,0.2222222222222222,2.0,9.0
gpt-4.1,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,,0.0,0.0
gpt-4.1,gpt-4.1,GPT-4.1,automation_GPT-4.1,,,0.0,0.0
gpt-4.1,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,,,0.0,0.0
gpt-4.1,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,,,0.0,0.0
gpt-4.1,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,,,0.0,0.0
gpt-4.1,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,,,0.0,0.0
