judge_model,model_id,model_label,condition,avg_rank,avg_win_rate,total_wins,total_games,task_slug,task_title,mode,score,rank_value,source
deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,1.0,1.0,8.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,1.0,1.0,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.0,0.875,7.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.875,2.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,3.0,0.75,6.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.75,3.0,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.0,0.625,5.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.625,4.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.5,0.375,3.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,5.5,panel_judge
deepseek-ai/DeepSeek-V3.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.5,0.375,3.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,5.5,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,7.0,0.25,2.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,7.0,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,8.5,0.125,1.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.125,8.5,panel_judge
deepseek-ai/DeepSeek-V3.1,plain,plain,plain,8.5,0.125,1.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.125,8.5,panel_judge
deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
google/gemini-3.1-pro,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.0,1.0,8.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,1.0,1.0,panel_judge
google/gemini-3.1-pro,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,2.0,0.875,7.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.875,2.0,panel_judge
google/gemini-3.1-pro,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,3.0,0.75,6.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.75,3.0,panel_judge
google/gemini-3.1-pro,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,4.0,0.625,5.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.625,4.0,panel_judge
google/gemini-3.1-pro,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,5.0,0.5,4.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5,5.0,panel_judge
google/gemini-3.1-pro,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,6.0,0.375,3.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.375,6.0,panel_judge
google/gemini-3.1-pro,plain,plain,plain,7.0,0.25,2.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,7.0,panel_judge
google/gemini-3.1-pro,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,8.0,0.125,1.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.125,8.0,panel_judge
google/gemini-3.1-pro,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,9.0,0.0,0.0,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.0,9.0,panel_judge
google/gemini-3.1-pro,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
gpt-4.1,plain,plain,plain,1.0,0.75,3.0,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.75,1.0,panel_judge
gpt-4.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,0.5,2.0,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5,3.0,panel_judge
gpt-4.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,0.5,2.0,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5,3.0,panel_judge
gpt-4.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.5,2.0,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5,3.0,panel_judge
gpt-4.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.25,1.0,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,5.0,panel_judge
gpt-4.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
gpt-4.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
gpt-4.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
gpt-4.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
gpt-4.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.5,0.9047619047619048,19.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.9047619047619048,1.5,panel_judge
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,1.5,0.9047619047619048,19.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.9047619047619048,1.5,panel_judge
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.6190476190476191,13.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6190476190476191,3.0,panel_judge
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,4.5,0.5714285714285714,12.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5714285714285714,4.5,panel_judge
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,4.5,0.5714285714285714,12.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5714285714285714,4.5,panel_judge
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,automation_GPT-4.1,6.0,0.2857142857142857,6.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.2857142857142857,6.0,panel_judge
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,0.1428571428571428,3.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.1428571428571428,7.0,panel_judge
anthropic/claude-opus-4-8,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,0.0,0.0,21.0,counselling,Counseling session (Anthropic Econ Index),automation,0.0,8.0,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
deepseek-ai/DeepSeek-V3.1,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,1.0,0.7916666666666666,19.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7916666666666666,1.0,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,2.0,0.7083333333333334,17.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7083333333333334,2.0,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.5,0.6666666666666666,16.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6666666666666666,3.5,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,3.5,0.6666666666666666,16.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6666666666666666,3.5,panel_judge
deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,5.0,0.5833333333333334,14.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5833333333333334,5.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,6.0,0.5416666666666666,13.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5416666666666666,6.0,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-4.1,GPT-4.1,automation_GPT-4.1,7.0,0.4166666666666667,10.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4166666666666667,7.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.125,3.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.125,8.0,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,9.0,0.0,0.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.0,9.0,panel_judge
deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
google/gemini-3.1-pro,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,1.0,0.8333333333333334,20.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.8333333333333334,1.0,panel_judge
google/gemini-3.1-pro,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,2.0,0.75,18.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.75,2.0,panel_judge
google/gemini-3.1-pro,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,3.0,0.7083333333333334,17.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7083333333333334,3.0,panel_judge
google/gemini-3.1-pro,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,4.0,0.6666666666666666,16.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6666666666666666,4.0,panel_judge
google/gemini-3.1-pro,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.0,0.5833333333333334,14.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5833333333333334,5.0,panel_judge
google/gemini-3.1-pro,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,6.0,0.5416666666666666,13.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5416666666666666,6.0,panel_judge
google/gemini-3.1-pro,gpt-4.1,GPT-4.1,automation_GPT-4.1,7.0,0.2916666666666667,7.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.2916666666666667,7.0,panel_judge
google/gemini-3.1-pro,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,8.0,0.125,3.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.125,8.0,panel_judge
google/gemini-3.1-pro,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,9.0,0.0,0.0,24.0,counselling,Counseling session (Anthropic Econ Index),automation,0.0,9.0,panel_judge
google/gemini-3.1-pro,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.5,0.6666666666666666,6.0,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6666666666666666,1.5,panel_judge
gpt-4.1,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,1.5,0.6666666666666666,6.0,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.6666666666666666,1.5,panel_judge
gpt-4.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.5,0.3333333333333333,3.0,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.3333333333333333,3.5,panel_judge
gpt-4.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.5,0.3333333333333333,3.0,9.0,counselling,Counseling session (Anthropic Econ Index),automation,0.3333333333333333,3.5,panel_judge
gpt-4.1,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,gpt-4.1,GPT-4.1,automation_GPT-4.1,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
gpt-4.1,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),automation,,,panel_judge
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.0,0.8571428571428571,6.0,7.0,market_trends,Market trends analysis,augmentation,0.8571428571428571,2.0,panel_judge
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.8571428571428571,6.0,7.0,market_trends,Market trends analysis,augmentation,0.8571428571428571,2.0,panel_judge
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.8571428571428571,6.0,7.0,market_trends,Market trends analysis,augmentation,0.8571428571428571,2.0,panel_judge
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.0,0.5714285714285714,4.0,7.0,market_trends,Market trends analysis,augmentation,0.5714285714285714,4.0,panel_judge
anthropic/claude-opus-4-8,plain,plain,plain,5.0,0.4285714285714285,3.0,7.0,market_trends,Market trends analysis,augmentation,0.4285714285714285,5.0,panel_judge
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.0,0.2857142857142857,2.0,7.0,market_trends,Market trends analysis,augmentation,0.2857142857142857,6.0,panel_judge
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,7.0,0.1428571428571428,1.0,7.0,market_trends,Market trends analysis,augmentation,0.1428571428571428,7.0,panel_judge
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,8.0,0.0,0.0,7.0,market_trends,Market trends analysis,augmentation,0.0,8.0,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,2.0,0.75,6.0,8.0,market_trends,Market trends analysis,augmentation,0.75,2.0,panel_judge
deepseek-ai/DeepSeek-V3.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,2.0,0.75,6.0,8.0,market_trends,Market trends analysis,augmentation,0.75,2.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,2.0,0.75,6.0,8.0,market_trends,Market trends analysis,augmentation,0.75,2.0,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,5.0,0.5,4.0,8.0,market_trends,Market trends analysis,augmentation,0.5,5.0,panel_judge
deepseek-ai/DeepSeek-V3.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.0,0.5,4.0,8.0,market_trends,Market trends analysis,augmentation,0.5,5.0,panel_judge
deepseek-ai/DeepSeek-V3.1,plain,plain,plain,5.0,0.5,4.0,8.0,market_trends,Market trends analysis,augmentation,0.5,5.0,panel_judge
deepseek-ai/DeepSeek-V3.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,8.0,0.25,2.0,8.0,market_trends,Market trends analysis,augmentation,0.25,8.0,panel_judge
deepseek-ai/DeepSeek-V3.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,8.0,0.25,2.0,8.0,market_trends,Market trends analysis,augmentation,0.25,8.0,panel_judge
deepseek-ai/DeepSeek-V3.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,8.0,0.25,2.0,8.0,market_trends,Market trends analysis,augmentation,0.25,8.0,panel_judge
deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
google/gemini-3.1-pro,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,1.0,1.0,8.0,8.0,market_trends,Market trends analysis,augmentation,1.0,1.0,panel_judge
google/gemini-3.1-pro,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,2.0,0.875,7.0,8.0,market_trends,Market trends analysis,augmentation,0.875,2.0,panel_judge
google/gemini-3.1-pro,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,3.0,0.75,6.0,8.0,market_trends,Market trends analysis,augmentation,0.75,3.0,panel_judge
google/gemini-3.1-pro,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.5,0.5,4.0,8.0,market_trends,Market trends analysis,augmentation,0.5,4.5,panel_judge
google/gemini-3.1-pro,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.5,0.5,4.0,8.0,market_trends,Market trends analysis,augmentation,0.5,4.5,panel_judge
google/gemini-3.1-pro,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,6.0,0.375,3.0,8.0,market_trends,Market trends analysis,augmentation,0.375,6.0,panel_judge
google/gemini-3.1-pro,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,7.5,0.25,2.0,8.0,market_trends,Market trends analysis,augmentation,0.25,7.5,panel_judge
google/gemini-3.1-pro,plain,plain,plain,7.5,0.25,2.0,8.0,market_trends,Market trends analysis,augmentation,0.25,7.5,panel_judge
google/gemini-3.1-pro,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,9.0,0.0,0.0,8.0,market_trends,Market trends analysis,augmentation,0.0,9.0,panel_judge
google/gemini-3.1-pro,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
gpt-4.1,plain,plain,plain,1.0,0.75,3.0,4.0,market_trends,Market trends analysis,augmentation,0.75,1.0,panel_judge
gpt-4.1,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,3.0,0.5,2.0,4.0,market_trends,Market trends analysis,augmentation,0.5,3.0,panel_judge
gpt-4.1,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,3.0,0.5,2.0,4.0,market_trends,Market trends analysis,augmentation,0.5,3.0,panel_judge
gpt-4.1,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,3.0,0.5,2.0,4.0,market_trends,Market trends analysis,augmentation,0.5,3.0,panel_judge
gpt-4.1,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,5.0,0.25,1.0,4.0,market_trends,Market trends analysis,augmentation,0.25,5.0,panel_judge
gpt-4.1,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
gpt-4.1,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
gpt-4.1,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
gpt-4.1,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
gpt-4.1,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,,,0.0,0.0,market_trends,Market trends analysis,augmentation,,,panel_judge
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,1.0,0.9523809523809524,20.0,21.0,market_trends,Market trends analysis,automation,0.9523809523809524,1.0,panel_judge
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,0.9047619047619048,19.0,21.0,market_trends,Market trends analysis,automation,0.9047619047619048,2.0,panel_judge
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.0,0.7142857142857143,15.0,21.0,market_trends,Market trends analysis,automation,0.7142857142857143,3.0,panel_judge
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,4.0,0.5714285714285714,12.0,21.0,market_trends,Market trends analysis,automation,0.5714285714285714,4.0,panel_judge
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,automation_GPT-4.1,5.0,0.4285714285714285,9.0,21.0,market_trends,Market trends analysis,automation,0.4285714285714285,5.0,panel_judge
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,6.0,0.2857142857142857,6.0,21.0,market_trends,Market trends analysis,automation,0.2857142857142857,6.0,panel_judge
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,7.0,0.1428571428571428,3.0,21.0,market_trends,Market trends analysis,automation,0.1428571428571428,7.0,panel_judge
anthropic/claude-opus-4-8,gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,8.0,0.0,0.0,21.0,market_trends,Market trends analysis,automation,0.0,8.0,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,,,0.0,0.0,market_trends,Market trends analysis,automation,,,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,,0.0,0.0,market_trends,Market trends analysis,automation,,,panel_judge
